ID,Comment,Comment_Text,Comment_Code,Creation_Date,Author_ID,Issue_ID
1,Comment 1,Detailed text for comment 1,CODE_ZOXVZ,2024-04-08 10:24:30,56,68
2,Comment 2,Detailed text for comment 2,CODE_0P277,2023-12-09 14:20:05,3,21
3,Comment 3,Detailed text for comment 3,CODE_E9U2G,2025-07-30 23:15:45,93,99
4,Comment 4,Detailed text for comment 4,CODE_5GNX1,2021-07-23 21:01:14,75,56
5,Comment 5,Detailed text for comment 5,CODE_US43S,2025-01-01 22:01:42,22,46
6,Comment 6,Detailed text for comment 6,CODE_326DH,2021-12-28 00:55:01,1,35
7,Comment 7,Detailed text for comment 7,CODE_T7VO8,2021-06-18 02:32:57,6,9
8,Comment 8,Detailed text for comment 8,CODE_IPWCR,2025-01-14 12:24:52,61,71
9,Comment 9,Detailed text for comment 9,CODE_8P6HH,2024-09-22 17:02:03,88,14
10,Comment 10,Detailed text for comment 10,CODE_NRDEY,2020-12-03 13:42:07,38,9
11,Comment 11,Detailed text for comment 11,CODE_NHHHF,2024-01-06 02:04:02,72,20
12,Comment 12,Detailed text for comment 12,CODE_9UIIC,2024-01-04 10:30:00,45,31
13,Comment 13,Detailed text for comment 13,CODE_LUA2J,2024-06-22 14:33:17,82,44
14,Comment 14,Detailed text for comment 14,CODE_I19U9,2024-03-05 08:47:42,42,24
15,Comment 15,Detailed text for comment 15,CODE_SYNOK,2025-02-16 22:19:00,26,59
16,Comment 16,Detailed text for comment 16,CODE_QW0VM,2021-03-22 19:29:43,44,52
17,Comment 17,Detailed text for comment 17,CODE_QAGTV,2020-10-06 20:36:54,34,68
18,Comment 18,Detailed text for comment 18,CODE_WZPCF,2020-01-26 00:20:23,38,93
19,Comment 19,Detailed text for comment 19,CODE_0VFWW,2024-02-24 13:11:10,85,48
20,Comment 20,Detailed text for comment 20,CODE_6ZZK2,2023-07-08 11:53:21,11,98
21,Comment 21,Detailed text for comment 21,CODE_1O8RK,2021-02-09 02:04:41,93,27
22,Comment 22,Detailed text for comment 22,CODE_AWONA,2021-03-11 20:54:17,7,63
23,Comment 23,Detailed text for comment 23,CODE_5YRPO,2023-10-23 06:45:37,48,87
24,Comment 24,Detailed text for comment 24,CODE_367RJ,2020-01-01 09:35:53,19,51
25,Comment 25,Detailed text for comment 25,CODE_Q1BR6,2024-12-22 18:16:37,13,27
26,Comment 26,Detailed text for comment 26,CODE_MM0BW,2022-05-04 23:48:08,47,63
