ID,Project_Key,Name,URL,Description,Start_Date,Last_Update_Date,Repository_ID
1,PROJ_8RCZF,Project_1,https://project1.example.com,Description of Project 1,2021-03-25 16:15:28,2024-07-16 22:15:02,30
2,PROJ_8D74U,Project_2,https://project2.example.com,Description of Project 2,2020-02-15 05:54:01,2020-09-24 04:33:55,17
3,PROJ_G23FP,Project_3,https://project3.example.com,Description of Project 3,2020-09-21 05:53:56,2024-07-15 17:30:52,86
4,PROJ_QLZZ1,Project_4,https://project4.example.com,Description of Project 4,2022-12-05 16:02:15,2022-02-07 19:09:54,100
5,PROJ_HW73U,Project_5,https://project5.example.com,Description of Project 5,2023-09-01 05:56:04,2022-09-19 12:55:50,35
6,PROJ_6WKYV,Project_6,https://project6.example.com,Description of Project 6,2025-01-19 00:27:14,2024-04-04 23:57:58,49
7,PROJ_T5G0H,Project_7,https://project7.example.com,Description of Project 7,2024-02-09 20:04:01,2020-06-11 02:51:38,49
8,PROJ_J9260,Project_8,https://project8.example.com,Description of Project 8,2020-03-19 06:46:57,2020-03-24 05:57:30,52
9,PROJ_4FH26,Project_9,https://project9.example.com,Description of Project 9,2020-04-22 20:53:06,2021-12-15 12:53:12,47
10,PROJ_GDKTN,Project_10,https://project10.example.com,Description of Project 10,2023-06-17 02:41:47,2020-12-27 13:20:16,4
11,PROJ_48CHK,Project_11,https://project11.example.com,Description of Project 11,2025-04-28 11:47:22,2022-06-27 06:01:40,28
12,PROJ_V1XHK,Project_12,https://project12.example.com,Description of Project 12,2025-02-11 20:36:52,2024-07-10 01:00:48,86
13,PROJ_X4567,Project_13,https://project13.example.com,Description of Project 13,2021-11-23 18:08:16,2024-03-15 17:20:18,53
14,PROJ_5RGQB,Project_14,https://project14.example.com,Description of Project 14,2025-08-01 13:33:08,2020-06-09 14:57:09,86
15,PROJ_8WENB,Project_15,https://project15.example.com,Description of Project 15,2023-04-16 13:40:50,2024-04-11 16:29:51,1
16,PROJ_TH1E1,Project_16,https://project16.example.com,Description of Project 16,2022-10-27 15:59:47,2022-07-20 12:15:30,75
17,PROJ_XV7OH,Project_17,https://project17.example.com,Description of Project 17,2022-12-05 23:50:01,2024-01-03 07:58:06,90
18,PROJ_ASCZY,Project_18,https://project18.example.com,Description of Project 18,2025-05-12 05:24:05,2024-01-28 17:34:20,18
19,PROJ_FYE9Q,Project_19,https://project19.example.com,Description of Project 19,2022-02-16 02:23:26,2020-03-10 19:02:46,94
